orgao_emissor;tipo_de_documento;fornecedor_cnpj_cpf;fornecedor_nome_empresarial;numero;serie;sequencial;situacao;natureza;indicador_de_orcamento;data_de_emissao;data_de_recebimento;data_de_registro;valor_total_com_impostos;nota_fiscal_para_aglutinacao
1250 - POLICIA MILITAR DE MINAS GERAIS;;17.359.233/0001-88;TECIDOS E ARMARINHOS MIGUEL BARTOLOMEU S/A;22092659;1;1;Incompleta;Serviço;Despesa orçamentária;2024-12-27;2024-12-31;2025-01-01;280,0;Não
1250 - POLICIA MILITAR DE MINAS GERAIS;;17.359.233/0001-88;TECIDOS E ARMARINHOS MIGUEL BARTOLOMEU S/A;22092659;1;1;Completa - Recebimento definitivo;Permanente;Despesa orçamentária;2024-12-27;2024-12-31;2025-01-01;280,0;Não
2010 - INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS;;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;202435933;;1;Completa;Serviço;Despesa extra orçamentária;2024-12-16;2025-01-02;2025-01-02;22274,09;Não
2010 - INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS;;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;30614157;;1;Completa;Serviço;Despesa extra orçamentária;2024-12-16;2025-01-02;2025-01-02;1649,73;Não
2010 - INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS;;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;202436117;;1;Completa;Serviço;Despesa extra orçamentária;2024-12-17;2025-01-02;2025-01-02;14951,06;Não
2010 - INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS;;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;30614514;;1;Completa;Serviço;Despesa extra orçamentária;2024-12-17;2025-01-02;2025-01-02;1237,47;Não
2300 - DEPARTAMENTO DE ESTRADAS DE RODAGEM;;66.418.765/0001-54;CONSTRUTORA CENTRO LESTE ENGENHARIA LTDA;2024810;;1;Completa;Serviço;Despesa extra orçamentária;2024-12-30;2025-01-02;2025-01-02;790674,75;Não
2010 - INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS;;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;202436725;;1;Completa;Serviço;Despesa extra orçamentária;2024-12-20;2025-01-02;2025-01-02;4732,12;Não
2010 - INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS;;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;30615588;;1;Completa;Serviço;Despesa extra orçamentária;2024-12-20;2025-01-02;2025-01-02;412,95;Não
2010 - INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS;;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;202436903;;1;Completa;Serviço;Despesa extra orçamentária;2024-12-20;2025-01-02;2025-01-02;37902,17;Não
